method,seed,sat,rho,rho_over,rho_track,changed,reason
PPO,42,0,-0.02485920700498036,-0.02485920700498036,0.040420764785682,0,Overspeed violation
PPO,43,0,-0.0006064426229922901,-0.0006064426229922901,0.040420763605761634,0,Overspeed violation
PPO,44,1,0.03608281893875289,0.03608281893875289,0.04042076419536654,0,Satisfied
PPO,45,1,0.015173771066185395,0.015173771066185395,0.040420763849192756,0,Satisfied
PPO,46,0,-0.051143228898031114,-0.051143228898031114,0.04042076467333098,0,Overspeed violation
PPO,47,0,-0.01844585180916647,-0.01844585180916647,0.04042076269539459,0,Overspeed violation
PPO,48,1,0.03608280564258427,0.03608280564258427,0.04042076467489539,0,Satisfied
PPO,49,1,0.03608280609851204,0.03608280609851204,0.04042076411661039,0,Satisfied
PPO,50,0,-0.027547902830528073,-0.027547902830528073,0.04042076381401216,0,Overspeed violation
PPO,51,0,-0.058497713548952335,-0.058497713548952335,0.04042076507103494,0,Overspeed violation
PPO+CONF,42,0,-0.02485920700498036,-0.02485920700498036,0.040420779395104495,59,Overspeed violation
PPO+CONF,43,0,-0.0006064426229922901,-0.0006064426229922901,0.04042077839522551,59,Overspeed violation
PPO+CONF,44,1,0.009769662977156713,0.009769662977156713,0.04042077721267431,90,Satisfied
PPO+CONF,45,1,0.015173771066185395,0.015173771066185395,0.04042077815128137,59,Satisfied
PPO+CONF,46,0,-0.051143228898031114,-0.051143228898031114,0.04042077924792165,59,Overspeed violation
PPO+CONF,47,0,-0.01844585180916647,-0.01844585180916647,0.04042077939566582,59,Overspeed violation
PPO+CONF,48,1,0.020600002527003725,0.020600002527003725,0.04042077966853595,63,Satisfied
PPO+CONF,49,1,0.020599396266484455,0.020599396266484455,0.04042077897969441,74,Satisfied
PPO+CONF,50,0,-0.027547902830528073,-0.027547902830528073,0.04042077893827383,59,Overspeed violation
PPO+CONF,51,0,-0.058497713548952335,-0.058497713548952335,0.0404207777465546,59,Overspeed violation
PPO+GENAI,42,0,-0.02485920700498036,-0.02485920700498036,0.046449778659176794,449,Overspeed violation
PPO+GENAI,43,0,-0.19228164875061943,-0.19228164875061943,-0.17228164875061958,600,Overspeed violation
PPO+GENAI,44,1,0.022914495523146117,0.022914495523146117,0.04753813491390174,507,Satisfied
PPO+GENAI,45,1,0.015173771066185395,0.015173771066185395,0.046166129226318124,523,Satisfied
PPO+GENAI,46,0,-0.051143228898031114,-0.051143228898031114,0.04802952138906644,428,Overspeed violation
PPO+GENAI,47,0,-0.19764406998843173,-0.19764406998843173,-0.17764406998843185,600,Overspeed violation
PPO+GENAI,48,0,-0.1790545186730798,-0.1790545186730798,-0.1590545186730799,600,Overspeed violation
PPO+GENAI,49,1,0.024280975063958415,0.024280975063958415,0.04608004510612704,517,Satisfied
PPO+GENAI,50,0,-0.027547902830528073,-0.027547902830528073,0.045651758874605874,424,Overspeed violation
PPO+GENAI,51,0,-0.058497713548952335,-0.058497713548952335,0.04778563685563009,413,Overspeed violation
