method,sat_percent,rho,rho_over,rho_track,rmse,mae,overshoot_percent,recovery_time,mean_du,max_du,mean_u,changed,bad
PPO,0.0,-0.040759001143234205,-0.040759001143234205,0.03536724070845526,0.06669267010534877,0.04087006832652009,3.544738566067057,8.489999999999998,0.07961648153654224,0.8892093069851399,0.2302195280070106,0.0,0.0
PPO+CONF,0.0,-0.052010538390006175,-0.052010538390006175,0.035173471506093644,0.06705527017957788,0.043284837860538036,5.163172772513487,13.55,0.011017140807910433,0.020000000000000018,0.20417890819776802,276.6,275.8
PPO+GENAI,0.0,-0.07237250594713776,-0.07237250594713776,0.0019640175393101506,0.07605832986266473,0.05493283397259716,7.538593853878656,15.500000000000004,0.024847762641156457,0.24,0.2674740986280764,211.7,300.3
