scenario,method,tol,window_s,sat,rho,mean_du,max_du,mean_u
Nominal,PPO,0.05,10.0,1.0,0.04391719582151409,0.00044800729952590885,0.03189006969332695,0.10751286321754257
Nominal,PPO+CONF,0.05,10.0,1.0,0.04354660805570161,0.0,0.0,0.48200000000000004
Nominal,PPO+GENAI,0.05,10.0,0.2,-0.6392666867975549,0.008080133555926544,0.1,0.3025333333333334
DecisionStress,PPO,0.03,8.0,1.0,0.022320604448006737,0.054156858600887516,0.8571076840162277,0.13095614801719785
DecisionStress,PPO+CONF,0.03,8.0,0.4,-0.00336970385448819,0.0,0.0,0.48200000000000004
DecisionStress,PPO+GENAI,0.03,8.0,0.2,-0.48329841666260825,0.009334587272745937,0.12,0.3989200945537532
