method,tol_over,tol_track,sat,sat_percent,rho,mean_du,max_du,mean_u,rmse,iae,recovery_time
PPO,0.03,0.05,0.4,40.0,-0.0057678144968616035,0.0038585071123900124,0.8866394348442554,0.1853065501836439,0.03212375054481473,0.0191218701998769,3.9
PPO+CONF,0.03,0.05,1.0,100.0,0.025206573101510366,0.0,0.0,0.20600609183311464,0.004793426898489633,0.004793426898489633,0.0
PPO+GENAI,0.03,0.05,1.0,100.0,0.025457571748639485,0.0,0.0,0.15600609183311462,0.0055605319889718095,0.0055605319889718095,0.0
