method,sat_full,rho_full,sat_post,rho_post,inside_full_percent,inside_post_percent,rmse,mae,overshoot_percent,sse,settling_time,recovery_time,rise_time,mean_u,max_u,mean_du,max_du,changed
PPO,0,-0.0651717916808925,0,-0.06493258835786772,57.833333333333336,71.28205128205128,0.04708150600887086,0.0347264880106308,8.58074919825458,0.010192623311142153,32.5,12.5,3.8000000000000003,0.16809609713032841,1.0,0.06626074644231637,0.8107737600803375,0
PPO+CONF,0,-0.06289888716349777,0,-0.06238619591360372,54.666666666666664,66.41025641025641,0.04807756100765474,0.03627633089568371,8.58074919825458,0.009522698096172979,34.7,14.700000000000001,3.8000000000000003,0.1492744866470496,1.0,0.014254161375691377,0.030000000000000027,223
PPO+GENAI,0,-0.07075074142751592,0,-0.07075074142751592,54.166666666666664,65.64102564102564,0.05057367560237059,0.03803926150202042,8.58074919825458,0.010774849867334376,34.9,14.9,3.4000000000000004,0.20240690766597788,1.0,0.016338561701655187,0.08000000000000002,165
