method,tol_over,tol_track,sat,sat_percent,rho,mean_du,max_du,mean_u,rmse,iae,recovery_time,changed,bad
PPO,0.03,0.05,0.0,0.0,-0.04493280704643665,0.08083479744887512,0.8484599538147449,0.18876780886761846,0.04333952018039682,0.029052739272639787,9.1,0.0,0.0
PPO+CONF,0.03,0.05,1.0,100.0,0.026647004456257783,0.0,0.0,0.2220264971256256,0.004674111057858318,0.004674111057858318,0.0,0.0,0.0
GENAI-1,0.03,0.05,1.0,100.0,0.02660376200613688,0.0,0.0,0.2014905631542206,0.0052951183900235834,0.0052951183900235834,0.0,0.0,0.0
GENAI-3,0.03,0.05,1.0,100.0,0.02626100062396331,0.0,0.0,0.24019801855087283,0.0055282774870832555,0.0055282774870832555,0.0,0.6,0.0
GENAI-5,0.03,0.05,1.0,100.0,0.025528396843669726,0.0,0.0,0.1954714500904083,0.004809609627045666,0.004809609627045666,0.0,0.5,0.0
GENAI-7,0.03,0.05,1.0,100.0,0.024976667584477218,0.0,0.0,0.18560324907302855,0.005273049461150891,0.005273049461150891,0.0,0.6,0.0
GENAI-9,0.03,0.05,1.0,100.0,0.027146510581073074,0.0,0.0,0.2768054842948914,0.003822619246191141,0.003822619246191141,0.0,0.6,0.0
