config,mode,num_candidates,K,spread,sat,rho,change_rate,avg_predicted_gain
dir_c3_k1,directional,3,1,0.06,1.0,0.032177215725178884,0.0013333333333333335,1.2261245257901472e-09
dir_c5_k3,directional,5,3,0.06,1.0,0.034520215205594715,0.7943333333333333,9.025237252228632e-07
dir_c7_k3,directional,7,3,0.08,1.0,0.03530121602327456,0.7943333333333333,1.2033468099484252e-06
sym_c5_k3,symmetric,5,3,0.06,1.0,0.03452021503105166,0.983,1.0519280775741305e-06
