method,sat,rho,rmse,overshoot,mean_du,max_du,changed
PPO,0,-0.055807491982545795,0.04637639914952826,0.0858074919825458,0.07112375450303439,0.6357664465904236,0
PPO+CONF,0,-0.055807491982545795,0.04769080937546809,0.0858074919825458,0.01415352730661979,0.030000000000000027,226
PPO+GENAI,0,-0.055807491982545795,0.044449454372564055,0.0858074919825458,0.031782764335705566,0.25000000000000006,196
