scenario,method,sat,rho,inside_percent,rmse,mae,overshoot_percent,mean_u,mean_du,max_du,changed
Nominal,PPO,0,-0.02485920700498036,92.0,0.014718227235806543,0.009733913073606576,5.485920700498037,0.09502563417578737,0.0001896680620357469,0.014317043125629425,0
Nominal,CONF,0,-0.02485920700498036,92.0,0.014718227235806543,0.009733913073606576,5.485920700498037,0.09502563417578737,0.0001896680620357469,0.014317043125629425,0
Nominal,GENAI,0,-0.02485920700498036,92.0,0.01497006295098868,0.010323734240229844,5.485920700498037,0.09463292857011157,0.034044476475858926,0.08000000000000002,223
Stress,PPO,0,-0.06512294931055759,57.166666666666664,0.04754152240859148,0.035098277562683196,8.58074919825458,0.17694431739859284,0.07070661566293299,0.8182388544082642,0
Stress,CONF,0,-0.0650188248630004,56.49999999999999,0.04697121556750766,0.03510261918876588,8.58074919825458,0.14667339681933322,0.014262460360741972,0.030000000000000027,230
Stress,GENAI,0,-0.06872750086549248,55.333333333333336,0.04901714855189572,0.03665170916617522,8.58074919825458,0.19517313881566126,0.01618927210519628,0.08000000000000002,171
