method,tol_over,tol_track,sat,sat_percent,rho,mean_du,max_du,mean_u,rmse,iae,recovery_time,changed,bad
PPO,0.03,0.05,0.4,40.0,-0.0057678144968616035,0.0038585071123900124,0.8866394348442554,0.1853065501836439,0.03212375054481473,0.0191218701998769,3.9,0.0,0.0
PPO+CONF,0.03,0.05,1.0,100.0,0.02469768195594064,0.0,0.0,0.20600609183311464,0.006354736056516516,0.006354736056516516,0.0,0.0,0.0
GENAI-1,0.03,0.05,1.0,100.0,0.02538137793369099,0.0,0.0,0.20600609183311464,0.00534434546050652,0.00534434546050652,0.0,0.0,0.0
GENAI-3,0.03,0.05,1.0,100.0,0.025158911243024995,0.0,0.0,0.26600609183311463,0.004841088756975,0.004841088756975,0.0,0.5,0.0
GENAI-5,0.03,0.05,1.0,100.0,0.025365522177385517,0.0,0.0,0.27100609183311464,0.004634477822614486,0.004634477822614486,0.0,0.7,0.0
GENAI-7,0.03,0.05,1.0,100.0,0.023856353233745575,0.0,0.0,0.23100609183311463,0.006563860684584857,0.006563860684584857,0.0,0.7,0.0
GENAI-9,0.03,0.05,1.0,100.0,0.023348152526791444,0.0,0.0,0.21600609183311464,0.0070368990380039005,0.0070368990380039005,0.0,0.5,0.0
