method,tol,sat,sat_percent,rho,mean_du,max_du,mean_u
PPO,0.03,0.4,40.0,-0.0057678144968616035,0.0038585071123900124,0.8866394348442554,0.1853065501836439
PPO+CONF,0.03,1.0,100.0,0.026291580351783306,0.0,0.0,0.20600609183311464
PPO+GENAI,0.03,1.0,100.0,0.02404096621115974,0.0,0.0,0.20600609183311464
